,id,created_phase,cleaned_feature
123,27,1,"notifi, via, text, messag, internet, servic, bandwidth, declin, prespecifi, speed, also, keep, track, bandwidth, outag, speed, reduct"
124,27,1,"notifi, via, text, messag, regular, test, variou, instal, technolog, indic, technolog, malfunct, failur"
125,27,1,"water, front, rear, lawn, area, prespecifi, time, day"
126,27,1,"close, open, prespecifi, window, shade, turn, onoff, light, around, night, day"
127,27,1,"collect, manag, variou, power, requir, applianc, heat, cool, technolog, secur, access, system, wish, alert, via, text, messag, via, mobil, phone, powerrel, problem, spike, failur, occur"
128,38,1,"turn, tv, get"
129,38,1,"play, warn, sound, child, close, stove"
130,38,1,"lower, thermostat, night"
131,38,1,"play, lullabi, bed, time"
132,38,1,"TV, switch, sport, channel, sport, game, begin"
133,38,1,"alert, run, medic"
134,38,1,"turn, sprinker, fire"
135,38,1,"play, favorit, music, , AM"
136,38,1,"alert, one"
137,38,1,"alert, children, usual, time"
138,30,1,"room, thermostat"
139,30,1,"revolv, central, autom, devic"
140,30,1,"net, alarm, secur"
141,30,1,"multipurpos, bathroom, appliac, like, shower"
142,30,1,"auto, sens, music"
143,39,1,"switch, offon, electr, gadget, like, bulb, fan, ac, move, move, particular, affect, region, particular, gadget"
144,39,1,"auto, start, video, record, send, smarthom, theft, approach, insid"
145,39,1,"sens, inform, small, tini, movabl, live, thing, like, mosquito, termit"
146,39,1,"open, door, whose, face, alreadi, regist"
147,39,1,"open, window, help, remot, control"
148,39,1,"remind, pre, manag, list, day, night"
149,39,1,"inform, quickli, solar, water, heater, heat, water"
150,39,1,"start, radio, time"
151,39,1,"fan, whose, speed, vari, extern, environ"
152,39,1,"dynam, solar, panel, set, opposit, sun"
153,37,1,"turn, electron, devic, anywher, internet, connect"
154,37,1,"switch, light, dark, fall, switch, morn"
155,37,1,"take, photograph, messag, photo, mobil, phone, approach, main, door"
156,37,1,"AC, maintain, perfect, temperatur, calcul, past, usag, pattern"
157,37,1,"thermostat, show, temperatur, across, room, give, recommend, heat, cool, room"
158,37,1,"open, door, use, phone"
159,37,1,"doorbel, camera, let, see, talk, visor, front, door"
160,37,1,"open, front, gate, vehicl, approach, gate, close, vehicl, pass, gate"
161,37,1,"coffe, machin, control, mobil, tablet"
162,37,1,"devic, clean, window"
163,37,1,"snowlanc, clean, snow, roof"
164,37,1,"make, sound, alarm, moment, big, tremor, strike"
165,40,1,"protect, object"
166,40,1,"alarm, danger"
167,40,1,"contact, polic"
168,40,1,film
169,40,1,"solar, panel"
170,40,1,"shut, air, room, right, temperatur"
171,40,1,"tell, food, spoil, fridg"
172,40,1,"tell, bacteria, percentag"
173,40,1,"lock, door"
174,41,1,"want, smarthom, take, pictur, person, come, near, outsid, door, , pm, , amand, mobil, alert, time"
175,41,1,"smarthom, switch, all, bulb, , pm, automaticali"
176,41,1,"switch, TV, radio, leisur, gadget, , pm"
177,41,1,"smarthom, clock, alert, child, eat, food, regular, correct, time"
178,41,1,"wash, machin, turn, wash, finish"
179,41,1,"keep, buzz, electr, wire, socket"
180,41,1,"set, alarm, water, pipe"
181,41,1,"get, alert, water, spill, floor"
182,41,1,"AC, temperatur, fall, mention, room, temperatur"
183,41,1,"door, lock, mention, time"
184,42,1,"light, front, side, station"
185,42,1,"secur, famili, ga, leakag"
186,42,1,"want, get, aircondition, offwhen, room, empti"
187,42,1,"want, block, stranger, enter, child, alon"
188,42,1,"want, secur, night"
189,42,1,"keyless, digit, door, lock"
190,42,1,"control, shower, temperatur, spray, steam, audio, light, shower"
191,42,1,"innov, control, kitchen"
192,42,1,"control, temperatur, room"
193,42,1,"give, voic, command, equip"
194,43,1,"alarm, go, movement, trigger"
195,43,1,"motion, light"
196,43,1,"coffeemak, start"
197,43,1,"alarm, go, smoke, detector, trigger"
198,43,1,"carbon, monoxid, detector, selftest, capac"
199,43,1,"light, turn, motion, detect, room"
200,43,1,"thermostat, learn, schedul, selfadjust"
201,43,1,"oven, preheat, set, interv"
202,43,1,"wireless, access, emerg, servic"
203,43,1,"remot, wireless, access, surveil, camera"
204,46,1,"manag, elect, activ, movement, go, light, get, auto, time, activ, go, like, room, vacant, peopl, sleep, auto, sensor, switch, light, also, maintain, bright, light"
205,46,1,"monitor, bodi, tempratur, manag, tempratur, accord"
206,46,1,"blink, red, bulb, star, one, minut"
207,46,1,"play, sooth, music, even, time"
208,46,1,"ring, bell"
209,46,1,"voic, command, featur, oper, activ, bathroom"
210,46,1,"floor, auto, cleaner, anyth, spill"
211,46,1,"full, sunlight, moonlight, transpar, wall, need, manag, opes"
212,46,1,"give, alert, anyth, floor, apart, usual, thing, like, key, lost, somewher, give, alert, direct, search"
213,46,1,"chang, fragrenc, everi, hour"
214,49,1,"maintain, temperatur, ask, place, temperatur, higher, lower"
215,49,1,"run, lawn, mower, grass, get, high, control"
216,49,1,"watch, peopl, get, close, alert, homeown, suspici"
217,49,1,"check, room, turn, light, room"
218,49,1,"check, content, refirger, inform, user, milk, old, get, new, food"
219,49,1,"turn, TV, news, channel, user, choic, import, news, happen"
220,49,1,"prepar, bath, user, want, perfect, temperatur, bubbl, need"
221,49,1,"prepear, coffe, morn, user, wake"
222,49,1,"remind, go, bed, time, schoolwork, special, occas"
223,49,1,"wash, dish, best, time, avail"
224,49,1,"turn, outsid, light, night, turn, morn, also, dim, light, light, isnt, need, bright"
225,49,1,"monitor, peopl, health, problem, someth, wrong, medic, emerg, agent, get, call"
226,49,1,"turn, oven, time, agre, upon"
227,51,1,"smarthom, beep, rodent, insid"
228,51,1,"smarthom, turn, televis, favorit, show, telecast"
229,51,1,"smarthom, alert, water, flood, raini, season"
230,51,1,"smarthom, buzz, dog, poop, insid"
231,51,1,"smarthom, alert, set, spycam, insid"
232,51,1,"smarthom, turn, light, leav"
233,51,1,"smarthom, alert, ga, leak, insid"
234,51,1,"smarthom, alert, amount, milk, fridg, low"
235,51,1,"smarthom, play, music, come, back, work"
236,51,1,"smarthom, give, updat, weather, leav"
237,53,1,"danger, door, stay, lock"
238,53,1,"channel, safe"
239,53,1,"door, stay, lock"
240,53,1,"camera, record"
241,53,1,"item, save, energi"
242,53,1,"light, dim, im, gone"
243,53,1,"alarm, place"
244,53,1,"detector, instal"
245,53,1,"health, scale, instal"
246,53,1,"high, tech, learn"
247,56,1,"know, tri, break"
248,56,1,"someth, warn, electr, problem, wall"
249,56,1,"someth, alert, dog, get, close, danger, food, thing"
250,56,1,"alert, refriger, act, funni"
251,56,1,"refriger, let, know, food, bad"
252,56,1,"televis, warn, rate, R, movi, come"
253,56,1,"light, dim, romant, even, husband"
254,56,1,"someth, warn, stove, isnt, work, right"
255,56,1,"light, kick, approach, door"
256,56,1,"motion, sensor"
257,56,1,"someth, alert, dog, trash"
258,54,1,"radiat, thermostat"
259,54,1,"light, chang, throughout, time, day"
260,54,1,"central, control, unit"
261,54,1,"abl, lock, app"
262,54,1,"smoke, detector, alert, away"
263,54,1,"floor, heat, control"
264,54,1,"voic, activ, recip, search, program, kitchen"
265,54,1,"door, window, sensor"
266,54,1,"room, monitor"
267,54,1,"shadesblind, adjust, throughout, day"
268,61,1,"alert, author, detect, presenc, carbon, monoxid, fire"
269,61,1,"fridg, programm, insert, list, item, want, keep, hand, item, get, low, push, button, ad, shop, list, interact, laptop, like, via, applic, gener, list, fo, rme"
270,61,1,"recogn, durress, phrase"
271,61,1,"restrict, tv, channel, child, turn, tv, perhap, via, profil, menu, someth"
272,61,1,"turn, internet, access, child, playstat, comput, certain, time, period, specifi, adult, reach"
273,61,1,"porch, light, programm, come, get, dark"
274,61,1,"programm, light"
275,61,1,"allow, track, fit, goal, like, weight, exercis, calori, food, consum, easi, app, like, prepar, recip, may, abl, push, ive, eaten, button, interfac"
276,61,1,"alert, cat, enter, leav"
277,61,1,"phone, programm, thermostatselectr, set, engag, away, weather, chang, accord, specifi, paramt"
278,61,1,"abl, place, phone, call, voic, command, text, messag, like, activ, comput, voic, command, call, x, call, take, place, mid, air, speak"
279,61,1,"regul, temperatur, loss, brigth, window, like, photo, cell, darken, window, sun, shine, right"
280,61,1,"shutter, window, wind, get, brisk, high"
281,60,1,"turn, light, movment, room, , min"
282,60,1,"lock, window, door, close, front, door, step, front, step, outsidd"
283,60,1,"alarm, go, certain, height, goe, kitchen"
284,60,1,"want, put, heat, air, condit, depend, temperatur, room"
285,60,1,"turn, heat, anyth, block, heater"
286,60,1,"make, sound, certain, height, goe, bathroom"
287,60,1,"would, like, alert, cellphon, movement, leav, work"
288,60,1,"would, like, turn, outlet, applianc, plug, night, leav"
289,60,1,"alert, text, light, bulb, run"
290,60,1,"tell, smoke, carbon, monoxid, come, alarm, goe"
291,59,1,"secur, footag, visit, human"
292,59,1,"measur, applianc, draw, voltag"
293,59,1,"light, turn, one, enter, room, given, period"
294,59,1,"smoke, alarm, easili, temporarili, disabl, hour"
295,59,1,"standard, set, like, car, radio, button, temperatur, like, water"
296,59,1,"light, stereo, hook, alarm, clock"
297,59,1,"curtain, close, clap"
298,59,1,"subtl, remind, leav, door, unlock, open"
299,59,1,"doggi, door, slide, open, sensor, dog, collar"
300,59,1,"detect, small, bodi, motion"
301,62,1,"determin, right, temperatur, set, thermostat"
302,62,1,"shut, light, room, without, occup"
303,62,1,"window, blind, open, close, depend, time, day"
304,62,1,"video, camera, start, record, anytim, come, rang, main, door"
305,62,1,"music, video, sync, across, devic"
306,62,1,"notifi, need, take, dog, walk"
307,62,1,"wake, children, predetermin, time, school"
308,62,1,"sprinkler, activ, water, lawn, appropri, time"
309,62,1,"notifi, mainten, concern, faulti, meter, leak, pipe"
310,62,1,"refriger, pantri, notifi, certain, ingredi, run, low"
311,65,1,"turn, light, room, motion, detect, , minut"
312,65,1,"manag, temperatur, set, peopl, away"
313,65,1,"turn, light, live, room, foyer, front, porch, approach, door"
314,65,1,"coffe, work, week, day, "
315,65,1,"detect, nois, level, adjust, music, volum, stereo, parti, mode"
316,65,1,"temperatur, control, know, deliv, cold, air, summer, top, floor, bedroom"
317,65,1,"alert, odd, environ, fluctuat, may, signal, fire, burst, pipe, oven, left, burglari"
318,65,1,"tell, energi, usag, optim, thing, like, run, dishwash, laundri"
319,65,1,"rememb, optim, volum, set, TV, music, throughout, use, unless, overridden"
320,65,1,"alert, ice, reform, sidewalk, driveway"
321,69,1,"door, lock, automaticali"
322,69,1,"sensor, notifi, smartphon, movment"
323,69,1,"smoke, detector, notifi, phone"
324,69,1,"light, turn"
325,69,1,"light, front, room, turn"
326,69,1,"thermostat, take, outdoor, temperatur, forecast, account"
327,69,1,"electr, outlet, wtih, usb, built"
328,69,1,"media, server"
329,69,1,"speaker, know, room, turn, music"
330,69,1,"garag, door, open, control, remot"
331,66,1,"search, engin, voic, activ, display, wall"
332,66,1,"speaker, turn, im, walk, toward"
333,66,1,thermomet
334,66,1,"wall, charger, turn, phone, fulli, charg"
335,66,1,"faster, preheat, oven"
336,66,1,"devic, send, heat, comput, produc, go, window"
337,66,1,"shower, alert, current, amount, hot, water, left"
338,66,1,"comput, heat, use, keep, drink, hot"
339,66,1,"pc, use, heat, gener, heat, heatpad"
340,66,1,"buzzer, door, ring"
341,72,1,"buzz, alert"
342,72,1,"the, oven, talk, basic, inform"
343,72,1,"spoken, alert"
344,72,1,"toilet, seat, heat"
345,72,1,"room, thermostat, sensor"
346,72,1,"CO, detector, send, phone, alert"
347,72,1,"electron, usag, monitor"
348,72,1,"self, flush, toilet"
349,72,1,"command, kitchen, control, applianc, voic"
350,72,1,"retina, scan, front, door"
351,68,1,"notif, phone, dog, water, bowl, almost, empti"
352,68,1,"notif, phone, ive, left, stove, still"
353,68,1,"food, dispens, sensor, notic, dog, pace, around, also, past, certain, time, day, dinner, time"
354,68,1,"the, light, dim, light, phone, go, silent, mode, set, mode, phone, respond, text, messag, start, play, movi"
355,68,1,"the, door, dog, room, open, let, also, unlock, front, door, pass, geofenc, way, work"
356,68,1,"sensor, realiz, toss, turn, bed, turn, temperatur, room"
357,68,1,"sensor, realiz, smoke, come, oven, area, oven, turn, oven, send, alert, give, option, alert, fire, depart, well"
358,68,1,"sensor, detect, ive, left, room, turn, light"
359,68,1,"sensor, adjust, light, base, current, activ, So, sit, comput, turn, desk, lamp, It, see, sit, couch, TV, turn, light, , see, sit, couch, TV, know, want, read, adjust, light, accordingli, thi, could, work, mani, room, activ"
360,68,1,"the, thermostat, adjust, dog, start, pant, mean, hot, need, heat, turn"
361,73,1,"monitor, rememb, local, outdoor, temperatur, calcul, degre, heat, day, degre, cool, day"
362,73,1,"entertain, applianc, awar, use"
363,73,1,"drive, walkway, light, turn, peopl, use, night"
364,73,1,"landscap, light, turn, exterior, especi, window, approach, night"
365,73,1,"certain, applianc, eg, dishwash, wash, machin, delay, run, time, day, electr, rate, lower"
366,73,1,"moistur, sensor, veget, garden, regul, drip, irrig"
367,73,1,"monitor, util, meter, eg, ga, electr, water, alert, typic, usag"
368,73,1,"cool, system, awar, coordin, exampl, roof, exhaust, fan, turn, close, AC, unit, need"
369,73,1,"heat, driveway, sens, snow"
370,73,1,"not, separ, clock, applianc"
371,73,1,"applianc, standard, modular"
372,73,1,"window, set, open, night, cool, outsid, close, air, heat, day"
373,73,1,"outdoor, water, switch, cisternsrain, barrel, gray, water, util, suppli, depend, avail"
374,74,1,"fill, entertain"
375,74,1,"home, secur"
376,74,1,"also, like, assist"
377,74,1,"monitor, diet, excercis"
378,74,1,"use, earth, friendli, energi, save, techniqu"
379,74,1,"keep, safe, secur, case, fall"
380,74,1,"that, interact, kid"
381,74,1,"keep, track, pet, health, diet"
382,74,1,"help, nourish, grow, plant"
383,74,1,"allow, organ, tool, propos, work, idea"
384,75,1,"notifi, approach, main, door"
385,75,1,"notifi, carbon, dioxid, level, exceed, certain, level"
386,75,1,"notifi, favorit, TV, show, record, dvr"
387,75,1,"provid, access, amount, water, consum"
388,75,1,"notifi, outsid, window, door, access"
389,75,1,"shift, music, one, room, next, travers, room, room"
390,75,1,"notifi, stand, water, crawl, space"
391,75,1,"notifi, children, leav, enter"
392,75,1,"notifi, accid, andor, traffic, delay, local, freeway"
